Total Exited ,2037,,,,,,
Total Records,10000,,,,,,
Exit Ratio,20.37%,,,,,,
,,,,,,,
,,,,,,,
RowNumber,Exited,P_hat,Total Select,Total Select Percent,Random Select,Random Select Percent,Model Select
3828,1,0.656493826,215,0.0215,43.7955,0.0215,149
2277,1,0.656374383,216,0.0216,43.9992,0.0216,150
9103,0,0.656004803,217,0.0217,44.2029,0.0217,150
7081,1,0.655633535,218,0.0218,44.4066,0.0218,151
7527,0,0.655628251,219,0.0219,44.6103,0.0219,151
1929,1,0.655451805,220,0.022,44.814,0.022,152
8485,1,0.653048709,221,0.0221,45.0177,0.0221,153
253,0,0.652147812,222,0.0222,45.2214,0.0222,153
6872,1,0.652047017,223,0.0223,45.4251,0.0223,154
2345,1,0.651223627,224,0.0224,45.6288,0.0224,155
5652,0,0.650937854,225,0.0225,45.8325,0.0225,155
2221,0,0.650422124,226,0.0226,46.0362,0.0226,155
9219,1,0.64973664,227,0.0227,46.2399,0.0227,156
1193,1,0.649249031,228,0.0228,46.4436,0.0228,157
3181,1,0.648420698,229,0.0229,46.6473,0.0229,158
7035,1,0.648163136,230,0.023,46.851,0.023,159
2095,0,0.647713504,231,0.0231,47.0547,0.0231,159
4224,1,0.647352199,232,0.0232,47.2584,0.0232,160
5116,1,0.647257235,233,0.0233,47.4621,0.0233,161
9784,0,0.647181673,234,0.0234,47.6658,0.0234,161
5389,1,0.646841223,235,0.0235,47.8695,0.0235,162
5511,1,0.646194861,236,0.0236,48.0732,0.0236,163
1329,1,0.645170432,237,0.0237,48.2769,0.0237,164
8763,1,0.644416964,238,0.0238,48.4806,0.0238,165
7303,0,0.643428587,239,0.0239,48.6843,0.0239,165
5943,1,0.643267188,240,0.024,48.888,0.024,166
3617,1,0.643093165,241,0.0241,49.0917,0.0241,167
7720,0,0.643015975,242,0.0242,49.2954,0.0242,167
8911,1,0.642758858,243,0.0243,49.4991,0.0243,168
4143,1,0.642701202,244,0.0244,49.7028,0.0244,169
6304,1,0.642487089,245,0.0245,49.9065,0.0245,170
4850,0,0.642322162,246,0.0246,50.1102,0.0246,170
5834,1,0.642318414,247,0.0247,50.3139,0.0247,171
2136,1,0.642311389,248,0.0248,50.5176,0.0248,172
7634,1,0.641819825,249,0.0249,50.7213,0.0249,173
8353,1,0.641721413,250,0.025,50.925,0.025,174
7329,1,0.641104099,251,0.0251,51.1287,0.0251,175
1994,1,0.641090599,252,0.0252,51.3324,0.0252,176
2348,1,0.640598859,253,0.0253,51.5361,0.0253,177
1123,1,0.640000381,254,0.0254,51.7398,0.0254,178
9039,1,0.639939464,255,0.0255,51.9435,0.0255,179
1599,1,0.63930006,256,0.0256,52.1472,0.0256,180
2595,1,0.638738998,257,0.0257,52.3509,0.0257,181
7704,0,0.638666294,258,0.0258,52.5546,0.0258,181
7159,1,0.638507089,259,0.0259,52.7583,0.0259,182
7267,1,0.637894282,260,0.026,52.962,0.026,183
5300,0,0.637821614,261,0.0261,53.1657,0.0261,183
2434,0,0.637624879,262,0.0262,53.3694,0.0262,183
6059,1,0.637196709,263,0.0263,53.5731,0.0263,184
159,0,0.636505195,264,0.0264,53.7768,0.0264,184
9477,0,0.636263562,265,0.0265,53.9805,0.0265,184
2576,1,0.636022245,266,0.0266,54.1842,0.0266,185
3550,1,0.635744456,267,0.0267,54.3879,0.0267,186
8745,1,0.635685744,268,0.0268,54.5916,0.0268,187
4344,1,0.635617102,269,0.0269,54.7953,0.0269,188
7719,1,0.634612911,270,0.027,54.999,0.027,189
2857,1,0.632990235,271,0.0271,55.2027,0.0271,190
4115,1,0.632832047,272,0.0272,55.4064,0.0272,191
8551,1,0.632828871,273,0.0273,55.6101,0.0273,192
9720,1,0.632502282,274,0.0274,55.8138,0.0274,193
9493,1,0.632428915,275,0.0275,56.0175,0.0275,194
2761,0,0.632346645,276,0.0276,56.2212,0.0276,194
5491,0,0.632190806,277,0.0277,56.4249,0.0277,194
671,0,0.632179206,278,0.0278,56.6286,0.0278,194
631,1,0.631278922,279,0.0279,56.8323,0.0279,195
852,1,0.631204569,280,0.028,57.036,0.028,196
3611,1,0.630372795,281,0.0281,57.2397,0.0281,197
1166,0,0.62951201,282,0.0282,57.4434,0.0282,197
6507,1,0.629430395,283,0.0283,57.6471,0.0283,198
7085,1,0.628966177,284,0.0284,57.8508,0.0284,199
2439,1,0.628908511,285,0.0285,58.0545,0.0285,200
6233,1,0.627828571,286,0.0286,58.2582,0.0286,201
1449,1,0.627493936,287,0.0287,58.4619,0.0287,202
7899,0,0.626887809,288,0.0288,58.6656,0.0288,202
3640,1,0.626579939,289,0.0289,58.8693,0.0289,203
6047,0,0.625824545,290,0.029,59.073,0.029,203
1612,1,0.625621292,291,0.0291,59.2767,0.0291,204
3594,0,0.625155875,292,0.0292,59.4804,0.0292,204
3390,1,0.624991546,293,0.0293,59.6841,0.0293,205
7207,0,0.624974632,294,0.0294,59.8878,0.0294,205
7766,0,0.624189752,295,0.0295,60.0915,0.0295,205
4993,1,0.623972874,296,0.0296,60.2952,0.0296,206
3284,0,0.623893344,297,0.0297,60.4989,0.0297,206
7203,0,0.623760469,298,0.0298,60.7026,0.0298,206
5515,1,0.623284035,299,0.0299,60.9063,0.0299,207
5332,1,0.623202414,300,0.03,61.11,0.03,208
1071,1,0.622543251,301,0.0301,61.3137,0.0301,209
8953,1,0.621656082,302,0.0302,61.5174,0.0302,210
9895,0,0.621492441,303,0.0303,61.7211,0.0303,210
3783,1,0.62149218,304,0.0304,61.9248,0.0304,211
9735,0,0.621217364,305,0.0305,62.1285,0.0305,211
3619,1,0.621157006,306,0.0306,62.3322,0.0306,212
71,1,0.620806067,307,0.0307,62.5359,0.0307,213
4002,1,0.620739718,308,0.0308,62.7396,0.0308,214
3914,1,0.620259871,309,0.0309,62.9433,0.0309,215
6892,1,0.620051114,310,0.031,63.147,0.031,216
4022,1,0.619053776,311,0.0311,63.3507,0.0311,217
3957,0,0.618984958,312,0.0312,63.5544,0.0312,217
7478,1,0.618104612,313,0.0313,63.7581,0.0313,218
3362,0,0.617478271,314,0.0314,63.9618,0.0314,218
5224,0,0.615828586,315,0.0315,64.1655,0.0315,218
4668,1,0.614550704,316,0.0316,64.3692,0.0316,219
1982,0,0.614463186,317,0.0317,64.5729,0.0317,219
9737,0,0.614162988,318,0.0318,64.7766,0.0318,219
8344,1,0.614107336,319,0.0319,64.9803,0.0319,220
1374,1,0.61393011,320,0.032,65.184,0.032,221
6256,1,0.613411864,321,0.0321,65.3877,0.0321,222
6275,1,0.612919085,322,0.0322,65.5914,0.0322,223
5818,0,0.612728868,323,0.0323,65.7951,0.0323,223
7317,1,0.610449406,324,0.0324,65.9988,0.0324,224
5137,0,0.610119436,325,0.0325,66.2025,0.0325,224
3410,1,0.610052017,326,0.0326,66.4062,0.0326,225
6053,0,0.609874392,327,0.0327,66.6099,0.0327,225
8305,0,0.608060753,328,0.0328,66.8136,0.0328,225
793,0,0.606773769,329,0.0329,67.0173,0.0329,225
8709,0,0.606415651,330,0.033,67.221,0.033,225
7227,0,0.606289763,331,0.0331,67.4247,0.0331,225
9053,1,0.605940813,332,0.0332,67.6284,0.0332,226
6290,1,0.605436391,333,0.0333,67.8321,0.0333,227
8226,1,0.60531263,334,0.0334,68.0358,0.0334,228
2262,0,0.60463652,335,0.0335,68.2395,0.0335,228
735,1,0.60445251,336,0.0336,68.4432,0.0336,229
970,0,0.604429833,337,0.0337,68.6469,0.0337,229
4362,1,0.604356804,338,0.0338,68.8506,0.0338,230
4281,1,0.604261189,339,0.0339,69.0543,0.0339,231
7092,1,0.603864966,340,0.034,69.258,0.034,232
1390,1,0.603332341,341,0.0341,69.4617,0.0341,233
9402,1,0.603246724,342,0.0342,69.6654,0.0342,234
8020,0,0.603222325,343,0.0343,69.8691,0.0343,234
7549,0,0.603059975,344,0.0344,70.0728,0.0344,234
9022,0,0.602884229,345,0.0345,70.2765,0.0345,234
4360,0,0.602622764,346,0.0346,70.4802,0.0346,234
4598,1,0.602414596,347,0.0347,70.6839,0.0347,235
9325,0,0.602085758,348,0.0348,70.8876,0.0348,235
8695,0,0.601845356,349,0.0349,71.0913,0.0349,235
5932,1,0.601215442,350,0.035,71.295,0.035,236
9983,1,0.601150764,351,0.0351,71.4987,0.0351,237
9754,0,0.600820956,352,0.0352,71.7024,0.0352,237
4439,0,0.600682702,353,0.0353,71.9061,0.0353,237
8663,1,0.600416083,354,0.0354,72.1098,0.0354,238
8735,1,0.599250422,355,0.0355,72.3135,0.0355,239
539,1,0.597437941,356,0.0356,72.5172,0.0356,240
7025,0,0.597086622,357,0.0357,72.7209,0.0357,240
250,1,0.596227768,358,0.0358,72.9246,0.0358,241
4500,0,0.596129996,359,0.0359,73.1283,0.0359,241
9403,0,0.59612436,360,0.036,73.332,0.036,241
2718,0,0.59562747,361,0.0361,73.5357,0.0361,241
2541,1,0.59539604,362,0.0362,73.7394,0.0362,242
6893,1,0.594219275,363,0.0363,73.9431,0.0363,243
7515,1,0.593030503,364,0.0364,74.1468,0.0364,244
4670,1,0.592917495,365,0.0365,74.3505,0.0365,245
2460,1,0.592124643,366,0.0366,74.5542,0.0366,246
6900,1,0.591913023,367,0.0367,74.7579,0.0367,247
5822,1,0.591873788,368,0.0368,74.9616,0.0368,248
6100,1,0.591665483,369,0.0369,75.1653,0.0369,249
752,0,0.591653713,370,0.037,75.369,0.037,249
9821,0,0.591412236,371,0.0371,75.5727,0.0371,249
9322,1,0.590922809,372,0.0372,75.7764,0.0372,250
1905,0,0.590539374,373,0.0373,75.9801,0.0373,250
2540,1,0.590375414,374,0.0374,76.1838,0.0374,251
7089,1,0.589292881,375,0.0375,76.3875,0.0375,252
6358,0,0.587154589,376,0.0376,76.5912,0.0376,252
9558,0,0.587043513,377,0.0377,76.7949,0.0377,252
2269,1,0.58702663,378,0.0378,76.9986,0.0378,253
5033,0,0.586761067,379,0.0379,77.2023,0.0379,253
9411,0,0.586606854,380,0.038,77.406,0.038,253
7397,1,0.586297303,381,0.0381,77.6097,0.0381,254
7774,1,0.585707366,382,0.0382,77.8134,0.0382,255
9820,1,0.585681478,383,0.0383,78.0171,0.0383,256
8563,1,0.585427508,384,0.0384,78.2208,0.0384,257
7004,1,0.585315516,385,0.0385,78.4245,0.0385,258
6568,1,0.585140468,386,0.0386,78.6282,0.0386,259
4951,0,0.585060357,387,0.0387,78.8319,0.0387,259
7254,1,0.584962481,388,0.0388,79.0356,0.0388,260
9534,1,0.584783933,389,0.0389,79.2393,0.0389,261
244,1,0.584686743,390,0.039,79.443,0.039,262
5100,1,0.583854995,391,0.0391,79.6467,0.0391,263
4379,0,0.583532478,392,0.0392,79.8504,0.0392,263
3539,1,0.58323349,393,0.0393,80.0541,0.0393,264
9063,1,0.583086676,394,0.0394,80.2578,0.0394,265
3652,0,0.582803573,395,0.0395,80.4615,0.0395,265
3669,1,0.582609104,396,0.0396,80.6652,0.0396,266
1126,0,0.582551047,397,0.0397,80.8689,0.0397,266
4298,1,0.58223061,398,0.0398,81.0726,0.0398,267
8018,0,0.582103353,399,0.0399,81.2763,0.0399,267
1508,0,0.580998458,400,0.04,81.48,0.04,267
8196,0,0.580641615,401,0.0401,81.6837,0.0401,267
1470,1,0.580280419,402,0.0402,81.8874,0.0402,268
5314,0,0.579951916,403,0.0403,82.0911,0.0403,268
4403,1,0.579722949,404,0.0404,82.2948,0.0404,269
7765,1,0.579327291,405,0.0405,82.4985,0.0405,270
2236,1,0.579070846,406,0.0406,82.7022,0.0406,271
9202,0,0.57884245,407,0.0407,82.9059,0.0407,271
8066,1,0.578558976,408,0.0408,83.1096,0.0408,272
8966,0,0.577487158,409,0.0409,83.3133,0.0409,272
7099,1,0.57707592,410,0.041,83.517,0.041,273
1056,0,0.576729777,411,0.0411,83.7207,0.0411,273
730,1,0.576354318,412,0.0412,83.9244,0.0412,274
5509,0,0.576179179,413,0.0413,84.1281,0.0413,274
6309,1,0.576100855,414,0.0414,84.3318,0.0414,275
5928,1,0.575999059,415,0.0415,84.5355,0.0415,276
3075,1,0.575462772,416,0.0416,84.7392,0.0416,277
3110,1,0.575193058,417,0.0417,84.9429,0.0417,278
964,1,0.57519062,418,0.0418,85.1466,0.0418,279
2081,1,0.574802251,419,0.0419,85.3503,0.0419,280
9690,0,0.574401305,420,0.042,85.554,0.042,280
3551,0,0.574079168,421,0.0421,85.7577,0.0421,280
9312,1,0.574007191,422,0.0422,85.9614,0.0422,281
2824,0,0.573959807,423,0.0423,86.1651,0.0423,281
7883,1,0.573890944,424,0.0424,86.3688,0.0424,282
9224,0,0.573834507,425,0.0425,86.5725,0.0425,282
4755,1,0.573515541,426,0.0426,86.7762,0.0426,283
7895,1,0.573503848,427,0.0427,86.9799,0.0427,284
4055,1,0.57283197,428,0.0428,87.1836,0.0428,285
7396,1,0.572819933,429,0.0429,87.3873,0.0429,286
7789,0,0.572585908,430,0.043,87.591,0.043,286
5705,1,0.572409439,431,0.0431,87.7947,0.0431,287
688,1,0.572008355,432,0.0432,87.9984,0.0432,288
7108,0,0.571956277,433,0.0433,88.2021,0.0433,288
8587,0,0.571835717,434,0.0434,88.4058,0.0434,288
5106,1,0.571780405,435,0.0435,88.6095,0.0435,289
8992,1,0.571749607,436,0.0436,88.8132,0.0436,290
3143,0,0.571647759,437,0.0437,89.0169,0.0437,290
7059,1,0.571571953,438,0.0438,89.2206,0.0438,291
3255,1,0.57140805,439,0.0439,89.4243,0.0439,292
2273,1,0.571003674,440,0.044,89.628,0.044,293
1492,1,0.570877902,441,0.0441,89.8317,0.0441,294
4871,1,0.5708019,442,0.0442,90.0354,0.0442,295
4840,1,0.570659155,443,0.0443,90.2391,0.0443,296
3734,0,0.570254188,444,0.0444,90.4428,0.0444,296
8749,1,0.57023478,445,0.0445,90.6465,0.0445,297
7696,1,0.570009896,446,0.0446,90.8502,0.0446,298
3703,0,0.569546696,447,0.0447,91.0539,0.0447,298
881,1,0.568976946,448,0.0448,91.2576,0.0448,299
6818,1,0.568688596,449,0.0449,91.4613,0.0449,300
4245,0,0.56867043,450,0.045,91.665,0.045,300
2594,0,0.568321665,451,0.0451,91.8687,0.0451,300
8643,0,0.568081967,452,0.0452,92.0724,0.0452,300
6554,1,0.567638312,453,0.0453,92.2761,0.0453,301
3350,1,0.567424842,454,0.0454,92.4798,0.0454,302
7694,0,0.567188454,455,0.0455,92.6835,0.0455,302
1154,1,0.567041464,456,0.0456,92.8872,0.0456,303
6302,0,0.566698892,457,0.0457,93.0909,0.0457,303
1699,0,0.566610816,458,0.0458,93.2946,0.0458,303
8104,1,0.565517669,459,0.0459,93.4983,0.0459,304
2408,1,0.56547858,460,0.046,93.702,0.046,305
6454,0,0.565293931,461,0.0461,93.9057,0.0461,305
7716,1,0.565264849,462,0.0462,94.1094,0.0462,306
7627,0,0.564831995,463,0.0463,94.3131,0.0463,306
9491,0,0.564704431,464,0.0464,94.5168,0.0464,306
183,0,0.56460535,465,0.0465,94.7205,0.0465,306
